City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Wawa,NG,2021-09-26 03:45:38,9.9022,4.4192,73.53,91,98,4.74
68,Ancud,CL,2021-09-26 03:45:39,-41.8697,-73.8203,40.53,72,5,4.81
69,Zhicheng,CN,2021-09-26 03:45:39,30.2956,111.5047,87.42,63,19,4.7
70,Bilibino,RU,2021-09-26 03:45:39,68.0546,166.4372,30.25,93,100,8.01
71,Zhigalovo,RU,2021-09-26 03:45:40,54.8097,105.1578,42.93,54,100,9.62
72,Sao Joao Da Barra,BR,2021-09-26 03:43:18,-21.6403,-41.0511,71.6,78,87,21.25
73,San Quintin,MX,2021-09-26 03:45:41,30.4833,-115.95,67.95,83,18,8.41
74,Dunedin,NZ,2021-09-26 03:45:41,-45.8742,170.5036,46.8,69,90,1.99
75,Sola,VU,2021-09-26 03:45:41,-13.8833,167.55,83.07,79,40,5.75
76,Kavieng,PG,2021-09-26 03:45:42,-2.5744,150.7967,83.46,78,52,11.86
77,Sobolevo,RU,2021-09-26 03:45:42,54.4299,31.8996,46.9,91,99,11.05
78,Umm Kaddadah,SD,2021-09-26 03:45:43,13.6017,26.6876,76.78,68,92,10.67
79,North Bend,US,2021-09-26 03:45:43,43.4065,-124.2243,58.24,94,90,6.91
80,Kosh-Agach,RU,2021-09-26 03:45:43,50.0,88.6667,37.38,34,62,3.11
81,Astana,KZ,2021-09-26 03:45:44,51.1801,71.446,44.55,61,0,13.42
82,Esperance,AU,2021-09-26 03:45:45,-33.8667,121.9,73.24,47,45,0.81
83,Sambava,MG,2021-09-26 03:45:45,-14.2667,50.1667,72.21,75,86,13.78
84,Barrow,US,2021-09-26 03:45:46,71.2906,-156.7887,26.62,80,90,3.44
85,Cuamba,MZ,2021-09-26 03:45:46,-14.8031,36.5372,69.21,63,5,1.77
86,Phalaborwa,ZA,2021-09-26 03:45:46,-23.943,31.1411,61.88,65,0,1.5
87,Ribeira Grande,PT,2021-09-26 03:45:47,38.5167,-28.7,70.59,85,93,6.71
88,Santa Isabel Do Rio Negro,BR,2021-09-26 03:45:47,-0.4139,-65.0192,72.95,96,94,2.48
89,Saskylakh,RU,2021-09-26 03:45:47,71.9167,114.0833,33.57,89,100,17.29
90,Forio,IT,2021-09-26 03:45:48,40.7342,13.8646,74.82,59,99,2.3
91,Meulaboh,ID,2021-09-26 03:45:48,4.1363,96.1285,80.33,82,100,9.37
92,Wilmington,US,2021-09-26 03:45:48,34.2257,-77.9447,66.85,92,1,0.0
93,Puerto Ayora,EC,2021-09-26 03:45:49,-0.7393,-90.3518,69.28,90,74,8.23
94,Emerald,AU,2021-09-26 03:45:49,-23.5333,148.1667,88.34,23,0,8.05
95,Jamestown,US,2021-09-26 03:45:50,42.097,-79.2353,56.52,89,1,1.01
96,Flinders,AU,2021-09-26 03:45:50,-34.5833,150.8552,63.21,53,48,8.99
97,Nishihara,JP,2021-09-26 03:45:50,26.1842,127.7558,90.68,71,20,8.05
98,Mehamn,NO,2021-09-26 03:45:51,71.0357,27.8492,44.58,90,80,14.9
99,Merauke,ID,2021-09-26 03:45:51,-8.4667,140.3333,81.45,82,86,16.44
100,Cape Town,ZA,2021-09-26 03:45:11,-33.9258,18.4232,59.41,91,75,3.44
101,Bambous Virieux,MU,2021-09-26 03:45:52,-20.3428,57.7575,75.22,83,75,11.5
102,Ostrovnoy,RU,2021-09-26 03:45:52,68.0531,39.5131,45.52,81,100,3.91
103,Saedinenie,BG,2021-09-26 03:45:53,42.2667,24.55,60.51,82,1,0.0
104,Bitung,ID,2021-09-26 03:45:53,1.4451,125.1824,94.05,70,97,12.75
105,Kapaa,US,2021-09-26 03:45:53,22.0752,-159.319,84.18,77,90,3.0
106,Corinto,GR,2021-09-26 03:45:54,37.9407,22.9573,68.68,64,0,1.54
107,Lakefield,US,2021-09-26 03:45:54,43.6775,-95.1717,60.28,66,1,5.75
108,Kaitangata,NZ,2021-09-26 03:45:54,-46.2817,169.8464,45.63,66,98,10.04
109,Palmer,US,2021-09-26 03:45:55,42.1584,-72.3287,63.21,85,40,0.0
110,Elliot,ZA,2021-09-26 03:45:55,-31.3333,27.85,56.39,52,76,2.55
111,Rio Gallegos,AR,2021-09-26 03:45:56,-51.6226,-69.2181,35.65,75,0,13.8
112,Ponta Do Sol,PT,2021-09-26 03:45:56,32.6667,-17.1,70.43,69,100,3.24
113,Milverton,CA,2021-09-26 03:45:57,43.5668,-80.9164,50.9,88,6,8.08
