City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
396,Sinnamary,GF,5.3833,-52.95,79.74,84,85,9.89,overcast clouds
397,Maues,BR,-3.3836,-57.7186,73.36,95,99,1.97,overcast clouds
398,Athabasca,CA,54.7169,-113.2854,59.47,55,73,1.01,broken clouds
399,Marechal Candido Rondon,BR,-24.5561,-54.0567,74.8,44,0,4.83,clear sky
400,Konstantinovka,RU,49.6167,127.9833,66.83,47,77,14.2,broken clouds
401,Andenes,NO,69.3143,16.1194,53.08,76,0,8.05,clear sky
402,Tshane,BW,-24.0196,21.8684,64.89,25,86,1.5,overcast clouds
403,Osorio,BR,-29.8867,-50.2697,67.15,95,7,3.0,clear sky
404,Agadir,MA,30.4202,-9.5982,63.05,71,7,2.08,clear sky
405,Victor Harbor,AU,-35.5667,138.6167,75.29,58,100,14.5,light rain
406,Bambanglipuro,ID,-7.95,110.2833,82.47,62,96,15.64,overcast clouds
407,Makakilo City,US,21.3469,-158.0858,79.12,68,40,8.05,scattered clouds
408,Bani Walid,LY,31.7566,13.9942,69.91,44,5,6.31,clear sky
409,Vestmanna,FO,62.1564,-7.1664,47.32,93,75,11.5,broken clouds
410,Saint-Louis,SN,16.3333,-15.0,85.26,57,57,6.98,broken clouds
411,Mezen,RU,65.8522,44.24,41.41,96,92,5.17,overcast clouds
412,Kurilsk,RU,45.2333,147.8833,60.71,55,99,9.86,overcast clouds
413,Xining,CN,36.6167,101.7667,63.36,38,0,0.74,clear sky
414,Machida,JP,35.5403,139.4508,79.18,65,85,8.28,overcast clouds
415,Prince Rupert,CA,54.3161,-130.3201,50.09,93,90,8.05,light rain
416,Bonthe,SL,7.5264,-12.505,75.83,85,100,4.68,overcast clouds
417,Kologriv,RU,58.8275,44.3178,34.25,92,11,4.29,few clouds
418,Kaka,TM,37.3482,59.6143,67.3,42,0,6.51,clear sky
419,Adrar,MR,20.5022,-10.0711,86.34,12,0,2.42,clear sky
420,Grand-Santi,GF,4.25,-54.3833,71.8,87,5,2.77,clear sky
421,Zeya,RU,53.75,127.2667,51.58,63,95,2.44,overcast clouds
422,Mao,ES,39.8885,4.2658,66.76,88,0,5.75,clear sky
423,Sydney,AU,-33.8679,151.2073,76.32,64,0,3.0,clear sky
424,Barcelona,ES,41.3888,2.159,70.54,86,20,4.0,few clouds
425,Aketi,CD,2.7388,23.7833,68.49,99,85,1.43,light rain
426,Carballo,ES,43.213,-8.691,56.91,91,100,0.69,overcast clouds
427,Mwene-Ditu,CD,-7.0,23.45,65.25,88,90,2.55,overcast clouds
428,Puerto Colombia,CO,10.9878,-74.9547,84.29,87,68,16.87,broken clouds
429,Ouallam,NE,14.3188,2.0866,84.52,51,7,9.53,clear sky
430,Pembroke,CA,45.8168,-77.1162,45.18,89,14,4.56,few clouds
431,Coihaique,CL,-45.5752,-72.0662,44.55,65,90,5.75,overcast clouds
432,Xai-Xai,MZ,-25.0519,33.6442,69.93,61,36,9.86,scattered clouds
433,Manokwari,ID,-0.8667,134.0833,83.97,69,95,7.36,overcast clouds
434,Qasigiannguit,GL,68.8193,-51.1922,21.45,71,0,5.61,clear sky
435,Paamiut,GL,61.994,-49.6678,33.64,50,0,6.71,clear sky
436,Adamantina,BR,-21.6853,-51.0725,73.24,45,2,4.09,clear sky
437,Ust-Omchug,RU,61.15,149.6333,40.24,60,96,0.45,overcast clouds
438,Sokoni,TZ,-6.4333,39.55,76.71,78,12,8.95,few clouds
439,Hervey Bay,AU,-25.2986,152.8535,73.04,61,100,11.74,overcast clouds
440,Marawi,PH,7.9986,124.2928,76.64,57,93,4.32,light rain
441,Gold Coast,AU,-28.0,153.4333,71.29,55,90,10.36,overcast clouds
442,San Lorenzo,PY,-25.3333,-57.5333,85.14,51,63,5.75,broken clouds
443,Lakes Entrance,AU,-37.8811,147.981,73.58,57,59,9.78,broken clouds
444,Dom Pedrito,BR,-30.9828,-54.6731,59.95,97,7,6.17,clear sky
445,Khao Wong,TH,16.7001,104.0902,90.46,65,17,4.79,few clouds
446,Ilulissat,GL,69.2167,-51.1,21.22,38,0,16.11,clear sky
447,Salinopolis,BR,-0.6136,-47.3561,78.6,84,10,9.28,clear sky
448,Kongwa,TZ,-6.2,36.4167,63.16,70,21,3.85,few clouds
449,George,ZA,-33.963,22.4617,55.2,77,100,4.7,overcast clouds
450,Sao Luis De Montes Belos,BR,-16.525,-50.3722,78.51,42,91,3.24,overcast clouds
451,Teguldet,RU,57.3064,88.1667,42.98,66,24,3.31,few clouds
452,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,6.91,broken clouds
453,Krasnoselkup,RU,65.7,82.4667,37.89,59,59,10.0,broken clouds
454,Maniitsoq,GL,65.4167,-52.9,33.91,42,0,9.37,clear sky
455,Batagay,RU,67.6333,134.6333,35.28,61,91,7.38,overcast clouds
456,Mindelo,CV,16.8901,-24.9804,78.35,78,20,19.57,few clouds
457,Thinadhoo,MV,0.5333,72.9333,83.23,74,85,14.05,overcast clouds
458,Chihuahua,MX,28.5,-106.0,68.74,45,56,4.65,broken clouds
459,Inta,RU,66.0317,60.1659,35.94,91,100,14.7,overcast clouds
460,Walvis Bay,NA,-22.9575,14.5053,56.08,93,12,5.53,few clouds
461,Soyo,AO,-6.1349,12.3689,74.35,86,100,5.97,overcast clouds
462,Hualmay,PE,-11.0964,-77.6139,61.63,86,17,8.84,few clouds
463,Taupo,NZ,-38.6833,176.0833,45.72,81,99,4.29,overcast clouds
464,Urdoma,RU,61.7533,48.5442,34.27,86,65,0.65,broken clouds
465,Dalby,AU,-27.1833,151.2667,68.99,53,88,3.0,light rain
466,Bella Vista,US,36.4295,-94.2316,72.09,71,1,3.0,clear sky
467,Sibolga,ID,1.7427,98.7792,86.29,63,97,4.7,overcast clouds
468,Capitao Poco,BR,-1.7464,-47.0594,71.46,96,1,4.27,clear sky
469,Ucluelet,CA,48.9329,-125.5528,54.09,92,100,7.25,overcast clouds
470,Senneterre,CA,48.3835,-77.2328,43.02,87,100,5.35,light rain
